Tiempo (n),Población (Pn),Diferencias (ΔPn)
0,10,0
1,27.028,17.028
2,72.25967801151998,45.23167801151998
3,187.56541115724923,115.30573314572925
4,449.6669707920666,262.10155963481736
5,875.3094990057623,425.6425282136957
6,1063.0350805301575,187.72558152439524
7,947.7804572490837,-115.2546232810738
8,1032.9078360710623,85.1273788219786
9,974.4437258680415,-58.46411020302082
10,1017.2771455612967,42.83341969325522
11,987.0470356108227,-30.230109950474002
12,1009.0375539874839,21.990518376661157
13,993.3524760318397,-15.685077955644147
14,1004.7102111882349,11.357735156395165
15,996.5704878706379,-8.139723317597031
16,1002.4490188612147,5.878530990576792
17,998.2263903873072,-4.2226284739074345
18,1001.2715883325186,3.0451979452113846
19,999.0816752691401,-2.189913063378526
20,1000.6597432952838,1.5780680261436828
