# t-dias, S-(infectados), I-(infectados), R-(recuperados)
0.000e+00 9.990e+03 1.000e+01 0.000e+00
4.167e-02 9.989e+03 1.100e+01 0.000e+00
8.333e-02 9.988e+03 1.200e+01 0.000e+00
1.250e-01 9.987e+03 1.300e+01 1.000e+00
1.667e-01 9.985e+03 1.400e+01 1.000e+00
2.083e-01 9.984e+03 1.500e+01 1.000e+00
2.500e-01 9.982e+03 1.600e+01 2.000e+00
2.917e-01 9.980e+03 1.800e+01 2.000e+00
3.333e-01 9.978e+03 1.900e+01 2.000e+00
3.750e-01 9.976e+03 2.100e+01 3.000e+00
4.167e-01 9.974e+03 2.300e+01 3.000e+00
4.583e-01 9.971e+03 2.500e+01 4.000e+00
5.000e-01 9.969e+03 2.700e+01 4.000e+00
5.417e-01 9.966e+03 2.900e+01 5.000e+00
5.833e-01 9.963e+03 3.200e+01 5.000e+00
6.250e-01 9.959e+03 3.500e+01 6.000e+00
6.667e-01 9.956e+03 3.800e+01 7.000e+00
7.083e-01 9.952e+03 4.100e+01 8.000e+00
7.500e-01 9.947e+03 4.400e+01 9.000e+00
7.917e-01 9.942e+03 4.800e+01 1.000e+01
8.333e-01 9.937e+03 5.200e+01 1.100e+01
8.750e-01 9.932e+03 5.700e+01 1.200e+01
9.167e-01 9.925e+03 6.200e+01 1.300e+01
9.583e-01 9.919e+03 6.700e+01 1.400e+01
1.000e+00 9.912e+03 7.300e+01 1.600e+01
1.042e+00 9.904e+03 7.900e+01 1.700e+01
1.083e+00 9.895e+03 8.600e+01 1.900e+01
1.125e+00 9.886e+03 9.300e+01 2.100e+01
1.167e+00 9.876e+03 1.010e+02 2.300e+01
1.208e+00 9.866e+03 1.090e+02 2.500e+01
1.250e+00 9.854e+03 1.190e+02 2.700e+01
1.292e+00 9.841e+03 1.290e+02 3.000e+01
1.333e+00 9.828e+03 1.400e+02 3.300e+01
1.375e+00 9.813e+03 1.520e+02 3.600e+01
1.417e+00 9.797e+03 1.640e+02 3.900e+01
1.458e+00 9.779e+03 1.780e+02 4.300e+01
1.500e+00 9.760e+03 1.930e+02 4.700e+01
1.542e+00 9.740e+03 2.090e+02 5.100e+01
1.583e+00 9.718e+03 2.270e+02 5.500e+01
1.625e+00 9.694e+03 2.460e+02 6.000e+01
1.667e+00 9.668e+03 2.660e+02 6.500e+01
1.708e+00 9.641e+03 2.880e+02 7.100e+01
1.750e+00 9.611e+03 3.120e+02 7.700e+01
1.792e+00 9.578e+03 3.380e+02 8.400e+01
1.833e+00 9.543e+03 3.650e+02 9.100e+01
1.875e+00 9.506e+03 3.950e+02 9.900e+01
1.917e+00 9.465e+03 4.270e+02 1.080e+02
1.958e+00 9.421e+03 4.610e+02 1.170e+02
2.000e+00 9.375e+03 4.980e+02 1.270e+02
2.042e+00 9.324e+03 5.380e+02 1.380e+02
2.083e+00 9.270e+03 5.800e+02 1.500e+02
2.125e+00 9.212e+03 6.260e+02 1.620e+02
2.167e+00 9.150e+03 6.740e+02 1.760e+02
2.208e+00 9.084e+03 7.260e+02 1.900e+02
2.250e+00 9.013e+03 7.810e+02 2.060e+02
2.292e+00 8.937e+03 8.400e+02 2.230e+02
2.333e+00 8.857e+03 9.030e+02 2.410e+02
2.375e+00 8.771e+03 9.690e+02 2.600e+02
2.417e+00 8.680e+03 1.039e+03 2.810e+02
2.458e+00 8.583e+03 1.113e+03 3.030e+02
2.500e+00 8.481e+03 1.192e+03 3.270e+02
2.542e+00 8.373e+03 1.274e+03 3.530e+02
2.583e+00 8.258e+03 1.361e+03 3.800e+02
2.625e+00 8.138e+03 1.452e+03 4.100e+02
2.667e+00 8.012e+03 1.547e+03 4.410e+02
2.708e+00 7.880e+03 1.646e+03 4.740e+02
2.750e+00 7.742e+03 1.748e+03 5.090e+02
2.792e+00 7.598e+03 1.855e+03 5.470e+02
2.833e+00 7.449e+03 1.965e+03 5.870e+02
2.875e+00 7.293e+03 2.078e+03 6.290e+02
2.917e+00 7.133e+03 2.194e+03 6.730e+02
2.958e+00 6.967e+03 2.313e+03 7.200e+02
3.000e+00 6.797e+03 2.434e+03 7.700e+02
3.042e+00 6.622e+03 2.556e+03 8.220e+02
3.083e+00 6.444e+03 2.680e+03 8.760e+02
3.125e+00 6.262e+03 2.805e+03 9.330e+02
3.167e+00 6.078e+03 2.929e+03 9.930e+02
3.208e+00 5.891e+03 3.054e+03 1.055e+03
3.250e+00 5.703e+03 3.177e+03 1.120e+03
3.292e+00 5.513e+03 3.299e+03 1.188e+03
3.333e+00 5.323e+03 3.419e+03 1.258e+03
3.375e+00 5.134e+03 3.536e+03 1.330e+03
3.417e+00 4.945e+03 3.650e+03 1.405e+03
3.458e+00 4.758e+03 3.760e+03 1.482e+03
3.500e+00 4.572e+03 3.866e+03 1.562e+03
3.542e+00 4.389e+03 3.968e+03 1.643e+03
3.583e+00 4.209e+03 4.064e+03 1.727e+03
3.625e+00 4.032e+03 4.155e+03 1.813e+03
3.667e+00 3.860e+03 4.240e+03 1.900e+03
3.708e+00 3.691e+03 4.319e+03 1.989e+03
