,Date,Price
0,1988-06-27,15.1
1,1988-06-28,15.27
2,1988-06-29,15.47
3,1988-06-30,14.85
4,1988-07-01,14.6
5,1988-07-04,14.35
6,1988-07-05,14.3
7,1988-07-06,14.68
8,1988-07-07,15.45
9,1988-07-08,15.05
10,1988-07-11,14.5
11,1988-07-12,14.1
12,1988-07-13,14.17
13,1988-07-14,14.06
14,1988-07-15,14.18
15,1988-07-18,14.8
16,1988-07-19,15.08
17,1988-07-20,15.13
18,1988-07-21,15.45
19,1988-07-22,15.71
20,1988-07-25,15.69
21,1988-07-26,15.32
22,1988-07-27,15.42
23,1988-07-28,15.67
24,1988-07-29,15.7
25,1988-08-01,15.56
26,1988-08-02,15.38
27,1988-08-03,15.0
28,1988-08-04,14.48
29,1988-08-05,14.63
30,1988-08-08,15.3
31,1988-08-09,15.34
32,1988-08-10,15.08
33,1988-08-11,15.09
34,1988-08-12,15.2
35,1988-08-15,14.93
36,1988-08-16,15.02
37,1988-08-17,14.95
38,1988-08-18,15.03
39,1988-08-19,15.1
40,1988-08-22,15.2
41,1988-08-23,14.99
42,1988-08-24,15.09
43,1988-08-25,14.88
44,1988-08-26,14.7
45,1988-08-30,14.65
46,1988-08-31,14.6
47,1988-09-01,14.4
48,1988-09-02,14.21
49,1988-09-05,13.99
50,1988-09-06,13.78
51,1988-09-07,13.5
52,1988-09-08,13.59
53,1988-09-09,13.72
54,1988-09-12,12.99
55,1988-09-13,13.6
56,1988-09-14,14.4
57,1988-09-15,13.95
58,1988-09-16,13.74
59,1988-09-19,13.46
60,1988-09-20,13.6
61,1988-09-21,13.52
62,1988-09-22,13.58
63,1988-09-23,13.52
64,1988-09-26,13.43
65,1988-09-27,12.98
66,1988-09-28,12.97
67,1988-09-29,12.73
68,1988-09-30,12.24
69,1988-10-03,11.85
70,1988-10-04,11.78
71,1988-10-05,11.35
72,1988-10-06,11.47
73,1988-10-07,11.49
74,1988-10-10,12.0
75,1988-10-11,12.58
76,1988-10-12,12.52
77,1988-10-13,12.71
78,1988-10-14,13.11
79,1988-10-17,13.7
80,1988-10-18,13.23
81,1988-10-19,13.49
82,1988-10-20,13.74
83,1988-10-21,13.55
84,1988-10-24,12.4
85,1988-10-25,12.3
86,1988-10-26,12.33
87,1988-10-27,12.5
88,1988-10-28,12.82
89,1988-10-31,12.74
90,1988-11-01,12.44
91,1988-11-02,12.56
92,1988-11-03,12.75
93,1988-11-04,12.95
94,1988-11-07,12.96
95,1988-11-08,12.82
96,1988-11-09,12.8
97,1988-11-10,12.95
98,1988-11-11,13.26
99,1988-11-14,13.25
100,1988-11-15,13.11
101,1988-11-16,12.78
102,1988-11-17,12.26
103,1988-11-18,12.04
104,1988-11-21,12.03
105,1988-11-22,12.8
106,1988-11-23,13.2
107,1988-11-24,12.77
108,1988-11-25,14.48
109,1988-11-28,14.58
110,1988-11-29,13.95
111,1988-11-30,14.05
112,1988-12-01,14.49
113,1988-12-02,14.5
114,1988-12-05,14.34
115,1988-12-06,14.1
116,1988-12-07,14.29
117,1988-12-08,14.7
118,1988-12-09,14.47
119,1988-12-12,14.53
120,1988-12-13,14.53
121,1988-12-14,14.6
