,Date,Price
0,2010-01-01,2225.25
1,2010-01-04,2225.25
2,2010-01-05,2246.5
3,2010-01-06,2302.5
4,2010-01-07,2306.5
5,2010-01-08,2261.25
6,2010-01-11,2320.25
7,2010-01-12,2260.25
8,2010-01-13,2250.25
9,2010-01-14,2292.75
10,2010-01-15,2281.5
11,2010-01-18,2292.25
12,2010-01-19,2243.25
13,2010-01-20,2243.25
14,2010-01-21,2229.25
15,2010-01-22,2189.25
16,2010-01-25,2217.25
17,2010-01-26,2189.25
18,2010-01-27,2148.75
19,2010-01-28,2125.75
20,2010-01-29,2061.25
21,2010-02-01,2046.25
22,2010-02-02,2074.75
23,2010-02-03,2086.25
24,2010-02-04,2051.75
25,2010-02-05,1948.5
26,2010-02-08,1973.75
27,2010-02-09,2002.25
28,2010-02-10,2022.25
29,2010-02-11,2012.25
30,2010-02-12,2004.25
31,2010-02-15,2032.5
32,2010-02-16,2050.5
33,2010-02-17,2094.5
34,2010-02-18,2076.5
35,2010-02-19,2071.5
36,2010-02-22,2115.5
37,2010-02-23,2117.25
38,2010-02-24,2078.5
39,2010-02-25,2062.25
40,2010-02-26,2050.25
41,2010-03-01,2100.5
42,2010-03-02,2107.5
43,2010-03-03,2107.5
44,2010-03-04,2202.75
45,2010-03-05,2200.5
46,2010-03-08,2223.75
47,2010-03-09,2200.25
48,2010-03-10,2232.5
49,2010-03-11,2194.5
50,2010-03-12,2215.5
51,2010-03-15,2207.5
52,2010-03-16,2213.0
53,2010-03-17,2242.25
54,2010-03-18,2243.5
55,2010-03-19,2232.5
56,2010-03-22,2192.25
57,2010-03-23,2230.5
58,2010-03-24,2194.25
59,2010-03-25,2175.5
60,2010-03-26,2199.0
61,2010-03-29,2224.75
62,2010-03-30,2267.25
63,2010-03-31,2287.5
64,2010-04-01,2329.5
65,2010-04-02,2327.25
66,2010-04-05,2327.25
67,2010-04-06,2327.25
68,2010-04-07,2323.5
69,2010-04-08,2295.25
70,2010-04-09,2357.25
71,2010-04-12,2380.75
72,2010-04-13,2368.75
73,2010-04-14,2419.25
74,2010-04-15,2423.5
75,2010-04-16,2447.25
76,2010-04-19,2338.75
77,2010-04-20,2383.5
78,2010-04-21,2326.25
79,2010-04-22,2293.25
80,2010-04-23,2265.25
81,2010-04-26,2293.25
82,2010-04-27,2262.0
83,2010-04-28,2114.75
84,2010-04-29,2114.75
85,2010-04-30,2183.5
86,2010-05-03,2163.5
87,2010-05-04,2163.5
88,2010-05-05,2094.5
89,2010-05-06,2094.5
90,2010-05-07,2094.5
91,2010-05-10,2104.0
92,2010-05-11,2027.5
93,2010-05-12,2100.25
94,2010-05-13,2116.25
95,2010-05-14,2080.5
96,2010-05-17,2080.5
97,2010-05-18,2005.25
98,2010-05-19,1968.5
99,2010-05-20,1946.75
100,2010-05-21,1990.75
101,2010-05-24,2008.5
102,2010-05-25,1980.25
103,2010-05-26,2010.25
104,2010-05-27,2003.25
105,2010-05-28,2036.5
106,2010-05-31,1952.5
107,2010-06-01,1952.5
108,2010-06-02,1953.75
109,2010-06-03,1950.75
110,2010-06-04,1915.25
111,2010-06-07,1828.25
112,2010-06-08,1850.25
113,2010-06-09,1910.75
114,2010-06-10,1906.0
115,2010-06-11,1931.75
116,2010-06-14,1945.25
117,2010-06-15,1964.75
118,2010-06-16,1967.25
119,2010-06-17,1950.25
120,2010-06-18,1930.5
121,2010-06-21,1968.25
122,2010-06-22,1900.75
123,2010-06-23,1921.5
124,2010-06-24,1908.25
125,2010-06-25,1945.5
126,2010-06-28,1995.0
127,2010-06-29,1962.25
128,2010-06-30,1923.75
129,2010-07-01,1927.75
130,2010-07-02,1932.5
131,2010-07-05,1911.0
132,2010-07-06,1945.5
133,2010-07-07,1954.25
134,2010-07-08,1976.5
135,2010-07-09,1970.25
136,2010-07-12,1966.5
137,2010-07-13,1947.5
138,2010-07-14,2003.25
139,2010-07-15,1990.75
140,2010-07-16,2008.25
141,2010-07-19,1946.75
142,2010-07-20,1930.25
143,2010-07-21,1975.0
144,2010-07-22,2006.25
145,2010-07-23,2008.25
146,2010-07-26,2020.5
147,2010-07-27,2042.5
148,2010-07-28,2058.75
149,2010-07-29,2082.5
150,2010-07-30,2126.5
151,2010-08-02,2184.0
152,2010-08-03,2199.5
153,2010-08-04,2200.75
154,2010-08-05,2200.75
155,2010-08-06,2216.5
156,2010-08-09,2200.75
157,2010-08-10,2144.5
158,2010-08-11,2150.5
159,2010-08-12,2131.25
160,2010-08-13,2142.5
161,2010-08-16,2120.5
162,2010-08-17,2134.5
163,2010-08-18,2145.5
164,2010-08-19,2093.5
165,2010-08-20,2093.5
166,2010-08-23,2058.0
167,2010-08-24,2038.25
168,2010-08-25,2015.5
169,2010-08-26,1998.25
170,2010-08-27,1996.25
171,2010-08-30,2044.5
172,2010-08-31,2044.5
173,2010-09-01,2058.75
174,2010-09-02,2104.5
175,2010-09-03,2128.25
176,2010-09-06,2128.25
177,2010-09-07,2109.75
178,2010-09-08,2120.25
179,2010-09-09,2082.25
180,2010-09-10,2083.25
181,2010-09-13,2107.5
182,2010-09-14,2101.0
183,2010-09-15,2117.25
184,2010-09-16,2131.5
185,2010-09-17,2155.5
186,2010-09-20,2173.5
187,2010-09-21,2166.5
188,2010-09-22,2166.5
189,2010-09-23,2233.25
190,2010-09-24,2271.5
191,2010-09-27,2281.25
192,2010-09-28,2224.5
193,2010-09-29,2293.25
194,2010-09-30,2313.5
195,2010-10-01,2344.5
196,2010-10-04,2331.5
197,2010-10-05,2334.5
198,2010-10-06,2334.5
199,2010-10-07,2342.75
200,2010-10-08,2320.5
201,2010-10-11,2390.5
202,2010-10-12,2385.25
203,2010-10-13,2389.0
204,2010-10-14,2401.75
205,2010-10-15,2367.5
206,2010-10-18,2348.25
207,2010-10-19,2356.25
208,2010-10-20,2324.0
209,2010-10-21,2347.5
210,2010-10-22,2326.25
211,2010-10-25,2361.5
212,2010-10-26,2331.5
213,2010-10-27,2321.5
214,2010-10-28,2307.5
215,2010-10-29,2301.0
216,2010-11-01,2368.75
217,2010-11-02,2385.5
218,2010-11-03,2401.25
219,2010-11-04,2440.75
220,2010-11-05,2437.5
221,2010-11-08,2413.5
222,2010-11-09,2425.5
223,2010-11-10,2430.25
224,2010-11-11,2445.5
225,2010-11-12,2433.75
226,2010-11-15,2349.75
227,2010-11-16,2329.25
228,2010-11-17,2224.5
229,2010-11-18,2262.5
230,2010-11-19,2259.5
231,2010-11-22,2265.25
232,2010-11-23,2220.75
233,2010-11-24,2241.5
234,2010-11-25,2241.5
235,2010-11-26,2238.25
236,2010-11-29,2256.5
237,2010-11-30,2244.75
238,2010-12-01,2289.75
239,2010-12-02,2325.75
240,2010-12-03,2323.0
241,2010-12-06,2278.25
242,2010-12-07,2325.25
243,2010-12-08,2295.75
244,2010-12-09,2347.5
245,2010-12-10,2315.5
246,2010-12-13,2297.5
247,2010-12-14,2331.5
248,2010-12-15,2331.5
249,2010-12-16,2295.5
250,2010-12-17,2306.25
251,2010-12-20,2327.25
252,2010-12-21,2377.75
253,2010-12-22,2443.75
254,2010-12-23,2420.5
255,2010-12-24,2401.5
256,2010-12-27,2436.25
257,2010-12-28,2436.25
258,2010-12-29,2436.25
259,2010-12-30,2449.75
260,2010-12-31,2458.5
261,2011-01-03,2471.5
262,2011-01-04,2471.5
263,2011-01-05,2445.0
264,2011-01-06,2469.75
265,2011-01-07,2492.0
266,2011-01-10,2465.5
267,2011-01-11,2488.5
268,2011-01-12,2484.25
269,2011-01-13,2479.25
270,2011-01-14,2452.5
271,2011-01-17,2438.5
272,2011-01-18,2444.25
273,2011-01-19,2444.25
274,2011-01-20,2373.25
275,2011-01-21,2389.5
276,2011-01-24,2394.75
277,2011-01-25,2359.5
278,2011-01-26,2362.75
279,2011-01-27,2390.5
280,2011-01-28,2454.5
281,2011-01-31,2454.5
282,2011-02-01,2530.5
283,2011-02-02,2522.25
284,2011-02-03,2515.5
285,2011-02-04,2523.25
286,2011-02-07,2539.0
287,2011-02-08,2519.5
288,2011-02-09,2537.5
289,2011-02-10,2503.25
290,2011-02-11,2490.25
291,2011-02-14,2484.5
292,2011-02-15,2482.25
293,2011-02-16,2476.25
294,2011-02-17,2473.75
295,2011-02-18,2508.5
296,2011-02-21,2531.5
297,2011-02-22,2477.0
298,2011-02-23,2489.25
299,2011-02-24,2490.75
300,2011-02-25,2529.0
301,2011-02-28,2531.25
302,2011-03-01,2581.5
303,2011-03-02,2554.75
304,2011-03-03,2578.5
305,2011-03-04,2587.5
306,2011-03-07,2565.75
307,2011-03-08,2534.75
308,2011-03-09,2579.25
309,2011-03-10,2546.25
310,2011-03-11,2490.5
311,2011-03-14,2499.5
312,2011-03-15,2473.5
313,2011-03-16,2467.5
314,2011-03-17,2475.25
315,2011-03-18,2507.5
316,2011-03-21,2536.25
317,2011-03-22,2548.25
318,2011-03-23,2600.25
319,2011-03-24,2595.75
320,2011-03-25,2608.25
321,2011-03-28,2584.0
322,2011-03-29,2591.5
323,2011-03-30,2595.0
324,2011-03-31,2599.0
325,2011-04-01,2589.25
326,2011-04-04,2610.25
327,2011-04-05,2592.5
328,2011-04-06,2625.75
329,2011-04-07,2659.75
330,2011-04-08,2659.75
331,2011-04-11,2653.25
332,2011-04-12,2634.0
333,2011-04-13,2634.0
334,2011-04-14,2617.25
335,2011-04-15,2637.75
336,2011-04-18,2658.5
337,2011-04-19,2660.25
338,2011-04-20,2713.5
339,2011-04-21,2731.25
340,2011-04-22,2720.5
341,2011-04-25,2720.5
342,2011-04-26,2720.5
343,2011-04-27,2739.5
344,2011-04-28,2771.75
345,2011-04-29,2740.25
346,2011-05-02,2740.25
347,2011-05-03,2740.25
348,2011-05-04,2753.25
