indice,PC1,clasificacion
0,7239.076,0
1,7175.889,0
2,7328.827,1
3,7289.713,1
4,7248.505,0
5,7162.73,0
6,7273.205,1
7,7326.662,1
8,7250.984,0
9,7376.023,1
10,7362.46,1
11,7326.573,1
12,7239.766,0
13,7196.449,0
14,6437.175,0
15,7318.494,1
16,7317.526,1
17,7235.769,0
18,7315.558,1
19,7217.496,0
20,7315.919,1
21,7141.916,0
22,7300.221,1
23,7315.899,1
24,7246.397,0
25,7239.539,0
26,7231.847,0
27,7280.617,1
28,7279.89,1
29,7216.926,0
30,7224.422,0
31,7073.361,0
32,7272.217,1
33,7075.599,0
34,7406.382,1
35,7352.968,1
36,7357.174,1
37,7383.702,1
38,7361.377,1
39,7347.833,1
40,7388.588,1
41,7275.353,1
42,7204.984,0
43,7387.76,1
44,7200.846,0
45,7214.251,0
46,7086.377,0
47,7229.744,0
48,7303.592,1
49,7202.628,0
50,7273.513,1
51,7306.047,1
52,7293.617,1
53,7274.012,1
54,7296.651,1
55,7275.586,1
56,7299.035,1
57,7244.993,0
58,7264.778,1
59,7302.631,1
60,7162.176,0
61,7142.416,0
62,7041.353,0
63,7304.981,1
64,7108.24,0
65,7291.522,1
66,6975.238,0
67,7267.657,1
68,7263.426,1
69,7309.262,1
70,7342.768,1
71,7356.422,1
72,7279.352,1
73,7334.951,1
74,7350.6,1
75,7153.87,0
76,7326.352,1
77,7331.453,1
78,7192.2,0
79,7311.752,1
80,7230.218,0
81,7267.948,1
82,7310.598,1
83,7288.186,1
84,7223.96,0
85,7215.21,0
86,7286.017,1
87,7294.68,1
88,7250.275,0
89,7238.888,0
90,7328.136,1
91,7196.083,0
92,7279.039,1
93,7175.023,0
94,7258.542,1
95,7242.908,0
96,7250.558,0
97,7243.335,0
98,7235.68,0
