Grupo,PesoNa2CO3,VolumenTitNa2CO3,VolumenTitNaOH,[HCl]mol/L,[NaOH] mol/L
1,0.2649,5.5,5,0.093,0.10
,0.2649,5.8,5,0.088,0.096
,0.2649,5.8,,0.088,
3,0.2649,11.2,4.8,0.09,0.0927
,0.2649,11.2,4.9,,
,0.2649,10.9,4.9,,
5,0.2655,5.8,5.0,0.086,0.100
,0.2655,6.3,4.6,0.079,0.109
,0.2655,5.7,4.7,0.088,0.106
9,0.2663,5.1,5,0.096,0.099
,0.2663,5.1,5.2,0.096,0.095
,0.2663,5.0,5.2,0.098,0.095
11,0.2649,5.4,4.8,0.093,0.088
,0.2649,5.5,4.5,0.091,0.082
,0.2649,5.5,5.1,0.091,0.093
13,0.2653,4.6,5,0.11,0.088
,0.2653,4.7,4.8,0.11,0.096
,0.2653,4.5,,0.11,
2,0.2675,10.5,4.4,0.0949,0.107
,0.2675,,,,,
,0.2675,,,,,
4,0.2680,9.70,4.50,0.103,0.092
,0.2680,9.90,4.50,0.101,0.092
,0.2680,9.80,4.20,0.102,0.086
6,0.2676,8.4,4.3,,
,0.2676,8.5,5.9,,
,0.2676,16.1,4.6,,
8,0.2676,10.3,4.6,0.097,0.103
,0.2676,10.7,4.7,0.093,0.101
,0.2676,10.6,4.7,0.094,0.101
10,0.2677,10.1,4.6,0.101,0.112
,0.2677,10.0,4.6,,
,0.2677,10.0,4.5,,
14,0.2679,10.0,4.0,0.101,0.126
,0.2679,10.1,4.4,0.100,0.115
,0.2679,9.8,4.3,0.103,0.117
